feature,catboost_rank,xgboost_rank
id,1.0,1.0
oldpeak,2.0,3.0
ca,3.0,2.0
cp_atypical angina,4.0,4.0
exang_True,5.0,7.0
cp_non-anginal,6.0,5.0
dataset_Hungary,7.0,
slope_flat,8.0,
thalch,9.0,8.0
sex_Male,10.0,6.0
chol,,10.0
thal_reversable defect,,9.0
