Model,Optimal Threshold,Precision,Recall,F1 Score,Youden J-stat
LR,0.55,0.8676,0.8716,0.8676,0.672
RF,0.55,0.8993,0.8532,0.8757,0.732
XGBoost,0.55,0.9057,0.8532,0.8785,0.746
CatBoost,0.55,0.8824,0.8532,0.8676,0.71
HRS,0.8,0.5,0.0734,0.1274,0.06
