Model,Threshold,AUC-ROC,Brier Score,Accuracy,Sensitivity,Specificity,Precision,F1 Score,Youden J-stat,Clinical Score
LR,0.55,0.9211,0.1096,0.8315,0.8716,0.8,0.8676,0.8676,0.6716,0.8917
RF,0.55,0.9187,0.1151,0.8641,0.8532,0.88,0.8993,0.8757,0.7332,0.8876
XGBoost,0.55,0.9163,0.1182,0.8641,0.8532,0.8933,0.9057,0.8785,0.7465,0.8852
CatBoost,0.55,0.9174,0.1141,0.8533,0.8532,0.8533,0.8824,0.8676,0.7065,0.8845
HRS,0.8,0.5312,0.2953,0.4728,0.0734,0.9867,0.5,0.1274,0.0601,0.4601
