Feature,Coefficient,Normalized Weight
id,1.895882747566485,0.19541555871307315
age,-0.01075593375292284,0.0011086533734779448
trestbps,0.07830073804132325,0.008070743030723517
chol,0.08503557803088425,0.008764927584643067
thalch,-0.027560650768883945,0.002840776928536545
oldpeak,0.6119480500809606,0.06307572040699368
ca,0.5987914453887794,0.061719621112356536
sex_Male,0.5744059613477822,0.059206120214436116
dataset_Hungary,-1.0590784383418885,0.10916308248239462
dataset_Switzerland,-0.17320406021526827,0.01785277504201376
dataset_VA Long Beach,-1.6471541690892166,0.1697781957519761
cp_atypical angina,-0.705388115594186,0.07270692921032858
cp_non-anginal,-0.48659150011619945,0.0501547629895846
cp_typical angina,-0.31375416651842986,0.03233978779935252
fbs_True,0.06166470425756711,0.0063560062724534695
restecg_normal,-0.0965221230197968,0.00994888772646744
restecg_st-t abnormality,-0.021159930529070777,0.002181031317456605
exang_True,0.3912510260475771,0.04032767213599491
slope_flat,0.30795485281019824,0.031742031355869345
slope_upsloping,-0.12779848716659745,0.013172656802959997
thal_normal,-0.16829984716629387,0.017347279892462233
thal_reversable defect,0.25929788375879315,0.02672677985644528
